id,active,attachments,bounty,bounty_claim,completed_profile,created_at,current_position,delivery_message,display_boost_factor,expected_finish_date,expertise,fa_icon,full_name,github_link,headline,is_canceled,kind,linkedin_link,location,name,overview,parent,person,photo,points,preferred_name,selectable,send_me_bounties,skill,status,twitter_link,updated_at,user,uuid,website_link
1,,,,,False,2024-05-06T17:34:35.125Z,Python Developer @ OpenUnited,,,,,,Doğukan Teber,,Super lorem ipsum sit amet,,,https://www.linkedin.com/in/dogukanteber/,"New York City, United States",,Super user,,,,,Doğukan,,True,,,https://twitter.com/dogukanteber,2024-05-15T21:22:41.927Z,2,,
2,,,,,False,2024-05-06T17:34:35.136Z,Software Engineer @ Google,,,,,,John Doe,,Experienced Software Engineer with a Passion for AI,,,https://www.linkedin.com/in/johndoe/,"Tokyo, Japan",,I'm a dedicated software engineer with 7 years of experience in building cutting-edge AI solutions. My expertise lies in natural language processing and machine learning algorithms. I have a strong track record of delivering successful projects and collaborating with cross-functional teams. Let's create the future together!,,,,,John,,True,,,https://twitter.com/johndoe,2024-05-06T17:34:35.136Z,3,,
3,,,,,False,2024-05-06T17:34:35.143Z,Senior Graphic Designer @ Apple,,,,,,Emily Smith,,Passionate Graphic Designer with a Love for Typography,,,https://www.linkedin.com/in/emilysmithdesigns/,"London, United Kingdom",,I'm an enthusiastic graphic designer specializing in typography and brand identity. I have a keen eye for detail and a deep understanding of design principles. My goal is to create visually stunning and meaningful designs that leave a lasting impact. Let's bring your brand to life through the power of design!,,,,,Emily,,False,,,https://twitter.com/emilysmithdesigns,2024-05-06T17:34:35.143Z,4,,
4,,,,,False,2024-05-06T17:34:35.147Z,Financial Advisor @ Morgan Stanley,,,,,,Michael Johnson,,Certified Public Accountant (CPA) with a Focus on Financial Planning,,,https://www.linkedin.com/in/mjohnsoncpa/,"Paris, France",,"I'm a CPA with expertise in financial planning and tax advisory. I have successfully helped numerous individuals and businesses in managing their finances and maximizing their profits. With a strong analytical mindset and attention to detail, I ensure that my clients make the best financial decisions. Let's secure your financial future together!",,,,,Michael,,True,,,https://twitter.com/mjohnson_cpa,2024-05-06T17:34:35.147Z,5,,
5,,,,,False,2024-05-06T17:34:35.149Z,Environmental Researcher @ World Wildlife Fund,,,,,,Sophia Garcia,,Passionate Environmental Scientist and Climate Activist,,,https://www.linkedin.com/in/sophiagarciaenv/,"Istanbul, Turkey",,"I'm an environmental scientist dedicated to studying the impact of climate change on our planet. I actively participate in climate advocacy campaigns to raise awareness about environmental issues. My mission is to promote sustainable practices and protect our fragile ecosystems. Together, we can make a difference!",,,,,Sophia,,False,,,https://twitter.com/sophiagarcia_env,2024-05-06T17:34:35.149Z,6,,
6,,,,,False,2024-05-06T17:34:35.152Z,Freelance Photographer,,,,,,William Anderson,,Travel Enthusiast and Adventure Photographer,,,https://www.linkedin.com/in/williamandersonphoto/,"Sydney, Australia",,"I'm a passionate travel enthusiast and professional photographer. My camera is my constant companion as I explore the world, capturing breathtaking landscapes and unique cultures. Through my photographs, I aim to inspire wanderlust and appreciation for the beauty of our planet. Join me on my journey!",,,,,William,,True,,,https://twitter.com/wanderson_photo,2024-05-06T17:34:35.152Z,7,,
7,,,,,False,2024-05-06T17:34:35.159Z,Yoga Instructor @ Fitness Studio,,,,,,Olivia Brown,,Health and Fitness Enthusiast | Certified Yoga Instructor,,,https://www.linkedin.com/in/oliviayogainstructor/,"Sydney, Australia",,"I'm a health and fitness enthusiast who believes in the power of a balanced lifestyle. As a certified yoga instructor, I promote physical and mental well-being through mindful practices. My aim is to guide individuals on their journey towards a healthier and happier life. Let's embrace wellness together!",,,,,Olivia,,False,,,https://twitter.com/oliviayoga,2024-05-06T17:34:35.159Z,8,,
8,,,,,False,2024-05-06T17:34:35.162Z,Senior Project Manager @ Microsoft,,,,,,James Wilson,,Experienced Project Manager | PMP Certified,,,https://www.linkedin.com/in/jameswilsonpmp/,"Sydney, Australia",,"I'm a results-driven project manager with a proven track record of successfully delivering complex projects on time and within budget. With PMP certification and excellent leadership skills, I excel in managing cross-functional teams and achieving project goals. Let's collaborate and make your projects a resounding success!",,,,,James,,True,,,https://twitter.com/jameswilson_pmp,2024-05-06T17:34:35.162Z,9,,
9,,,,,False,2024-05-06T17:34:35.165Z,UI/UX Designer @ Adobe,,,,,,Emma Lee,,UX/UI Designer with a Passion for User-Centered Design,,,https://www.linkedin.com/in/emmaleeuiux/,"Moscow, Russia",,"I'm a creative UX/UI designer who believes in putting the user at the center of every design decision. With a keen eye for aesthetics and a user-centric approach, I craft intuitive and visually appealing digital experiences. Let's collaborate to create designs that delight users and drive business success!",,,,,Emma,,False,,,https://twitter.com/emmalee_designs,2024-05-06T17:34:35.165Z,10,,
10,,,,,False,2024-05-06T17:34:35.167Z,Software Developer @ Amazon,,,,,,David Nguyen,,Full-stack Software Developer | Building Web Applications,,,https://www.linkedin.com/in/davidnguyendev/,"Moscow, Russia",,"I'm a passionate full-stack software developer with a focus on building scalable and user-friendly web applications. I have expertise in various programming languages and frameworks, and I'm always eager to learn and implement the latest technologies. Let's turn your ideas into robust digital solutions!",,,,,David,,True,,,https://twitter.com/davidnguyen_dev,2024-05-06T17:34:35.167Z,11,,
