id,title,description,status,reward_type,reward_in_usd_cents,reward_in_points,product_id,challenge_id,competition_id
MiK6qwWTG6x7uDL3LbHY43,Fix login bug,Resolve issue with user login on mobile devices,Open,USD,51000,,3trKw35JC6kqiiJMGaoET7,3TC4zwY4pDVgHvsyCVsBZv,
5oyAnd2Tea9oThG5LciDoE,Implement dark mode,Add dark mode option to the user interface,In Progress,Points,,950,Qrr881rBrVcXuUPD9rfpAu,Xx8oaqfv9hyxWkJtqbJfQF,
LU3npoyLctcnmAeaQmWgeF,Optimize database queries,Improve performance of main dashboard queries,Open,USD,75000,,QgNWurbk6QANXZ58ZbsiPw,,
37CEoTwyhjWDqULXvUxu7T,Create user documentation,Write comprehensive user guide for new features,Completed,Points,,1500,V1b3PhSKcjj4FpkUG7oajm,,
Sa4UHQ5WxpUqtvvvT4PSGT,Develop API endPoints,Create RESTful API endPoints for mobile app integration,Open,USD,100000,,NCyQd9sJjzktabhFok9Q2W,7puBaQJrXoWEPdgaxNRXQU,
DFeFJtmiaqnzgPpX8PRWsV,Implement social login,Add options for Google and Facebook login,In Progress,Points,,2000,BTTwJ2zxY4kMz2JntRy1PW,MPEALaA76mPGy9yKSLe74,
49476c73rp4zanehPGzTc6,Design new logo,Create a modern logo for the product rebrand,Open,USD,30000,,3eLpbpmZ86kRLYadqR7MCS,,A5uCYQQZLFnHMiQqnqAuoP
7AsnpkaYjGzTfeuJ4mbCuZ,Refactor authentication system,Improve security and scalability of auth system,Open,Points,,2500,JqJftnKEcsn9XzNQgGCc1b,,
9KDULNy893KgEwn7insRQS,Add multi-language support,Implement i18n for supporting multiple languages,In Progress,USD,120000,,PjXh8wFrDXFhPobEW4sLkD,EquggDpAzwQKvSb7XLacJ3,
PNvkUvT6irfYyrJX9At2X3,Create automated tests,Develop comprehensive automated test suite,Open,Points,,1800,RgDkyrCSvptLCR4YhwmPva,FgYLBGEHiJbcC5VP3xz4EJ,
